,block,beta_factor,gradient,mag,background_field
7,7,8.0,-2.0,-0.8628571428571429,-1.2845528455284554
8,8,8.0,-2.0,-0.5836177474402731,0.7154471544715447
9,9,8.0,-2.0,-0.6794300979519146,0.37398373983739835
10,10,8.0,-2.0,-0.6759410801963993,0.1951219512195122
11,11,8.0,-2.0,-0.8548387096774194,-1.2845528455284554
0,0,8.0,-1.0,-0.6693679092382496,0.35772357723577236
1,1,8.0,-1.0,-0.7215059308922125,0.18699186991869918
2,2,8.0,-1.0,-0.719720989220038,0.0975609756097561
3,3,8.0,-1.0,-0.7605552342394447,-0.6422764227642277
4,4,8.0,-1.0,-0.648068669527897,0.35772357723577236
5,5,8.0,-1.0,-0.7141500474833808,0.18699186991869918
6,6,8.0,-1.0,-0.7023309132594574,0.0975609756097561
7,7,8.0,-1.0,-0.7578021978021978,-0.6422764227642277
8,8,8.0,-1.0,-0.6996587030716723,0.35772357723577236
9,9,8.0,-1.0,-0.7435440783615316,0.18699186991869918
10,10,8.0,-1.0,-0.7062193126022913,0.0975609756097561
11,11,8.0,-1.0,-0.7368421052631579,-0.6422764227642277
0,0,8.0,0.0,-0.7390599675850892,-0.0
1,1,8.0,0.0,-0.7596699329551315,-0.0
2,2,8.0,0.0,-0.6867469879518072,-0.0
3,3,8.0,0.0,-0.5939849624060151,0.0
4,4,8.0,0.0,-0.7296137339055794,-0.0
5,5,8.0,0.0,-0.7264957264957265,-0.0
6,6,8.0,0.0,-0.6874283530760412,-0.0
7,7,8.0,0.0,-0.6074725274725274,0.0
8,8,8.0,0.0,-0.7372013651877133,-0.0
9,9,8.0,0.0,-0.7524487978628673,-0.0
10,10,8.0,0.0,-0.6890343698854338,-0.0
11,11,8.0,0.0,-0.5984719864176571,0.0
0,0,8.0,1.0,-0.779578606158833,-0.35772357723577236
1,1,8.0,1.0,-0.7751418256833419,-0.18699186991869918
2,2,8.0,1.0,-0.7260621433100825,-0.0975609756097561
3,3,8.0,1.0,-0.3609022556390977,0.6422764227642277
4,4,8.0,1.0,-0.7982832618025751,-0.35772357723577236
5,5,8.0,1.0,-0.7511870845204178,-0.18699186991869918
6,6,8.0,1.0,-0.6858998853649216,-0.0975609756097561
7,7,8.0,1.0,-0.3986813186813187,0.6422764227642277
8,8,8.0,1.0,-0.7474402730375427,-0.35772357723577236
9,9,8.0,1.0,-0.7560106856634016,-0.18699186991869918
10,10,8.0,1.0,-0.6833060556464812,-0.0975609756097561
11,11,8.0,1.0,-0.3633276740237691,0.6422764227642277
0,0,8.0,2.0,-0.8184764991896273,-0.7154471544715447
1,1,8.0,2.0,-0.7524497163486333,-0.37398373983739835
2,2,8.0,2.0,-0.6975269499048827,-0.1951219512195122
3,3,8.0,2.0,-0.14054366685945632,1.2845528455284554
4,4,8.0,2.0,-0.8054363376251789,-0.7154471544715447
5,5,8.0,2.0,-0.792022792022792,-0.37398373983739835
6,6,8.0,2.0,-0.7030951471150172,-0.1951219512195122
7,7,8.0,2.0,-0.17098901098901098,1.2845528455284554
8,8,8.0,2.0,-0.8225255972696246,-0.7154471544715447
9,9,8.0,2.0,-0.7417631344612645,-0.37398373983739835
10,10,8.0,2.0,-0.6824877250409165,-0.1951219512195122
11,11,8.0,2.0,-0.13921901528013583,1.2845528455284554
0,0,8.0,3.0,-0.8282009724473258,-1.0731707317073171
1,1,8.0,3.0,-0.7968024755028366,-0.5609756097560975
2,2,8.0,3.0,-0.6766011414077362,-0.29268292682926833
3,3,8.0,3.0,0.10121457489878542,1.926829268292683
4,4,8.0,3.0,-0.8183118741058655,-1.0731707317073171
5,5,8.0,3.0,-0.7787274453941121,-0.5609756097560975
6,6,8.0,3.0,-0.6858998853649216,-0.29268292682926833
7,7,8.0,3.0,0.08571428571428572,1.926829268292683
8,8,8.0,3.0,-0.78839590443686,-1.0731707317073171
9,9,8.0,3.0,-0.7595725734639359,-0.5609756097560975
10,10,8.0,3.0,-0.6890343698854338,-0.29268292682926833
11,11,8.0,3.0,0.11629881154499151,1.926829268292683
0,0,8.0,4.0,-0.8606158833063209,-1.4308943089430894
1,1,8.0,4.0,-0.7895822588963384,-0.7479674796747967
2,2,8.0,4.0,-0.6385542168674698,-0.3902439024390244
3,3,8.0,4.0,0.34065934065934067,2.569105691056911
4,4,8.0,4.0,-0.8082975679542204,-1.4308943089430894
5,5,8.0,4.0,-0.7692307692307693,-0.7479674796747967
6,6,8.0,4.0,-0.6629728696981276,-0.3902439024390244
7,7,8.0,4.0,0.32043956043956046,2.569105691056911
8,8,8.0,4.0,-0.8054607508532423,-1.4308943089430894
9,9,8.0,4.0,-0.7186108637577916,-0.7479674796747967
10,10,8.0,4.0,-0.6644844517184942,-0.3902439024390244
11,11,8.0,4.0,0.3930390492359932,2.569105691056911
0,0,8.0,5.0,-0.8881685575364667,-1.7886178861788617
1,1,8.0,5.0,-0.7741103661681279,-0.9349593495934959
2,2,8.0,5.0,-0.6455294863665187,-0.4878048780487805
3,3,8.0,5.0,0.5083863504916136,3.2113821138211387
4,4,8.0,5.0,-0.8583690987124464,-1.7886178861788617
5,5,8.0,5.0,-0.7530864197530864,-0.9349593495934959
6,6,8.0,5.0,-0.6457776079480321,-0.4878048780487805
7,7,8.0,5.0,0.48923076923076925,3.2113821138211387
8,8,8.0,5.0,-0.8122866894197952,-1.7886178861788617
9,9,8.0,5.0,-0.7186108637577916,-0.9349593495934959
10,10,8.0,5.0,-0.6382978723404256,-0.4878048780487805
11,11,8.0,5.0,0.5144312393887945,3.2113821138211387
0,0,8.0,6.0,-0.8865478119935171,-2.1463414634146343
1,1,8.0,6.0,-0.7648272305312016,-1.121951219512195
2,2,8.0,6.0,-0.6290424857324033,-0.5853658536585367
3,3,8.0,6.0,0.6304222093695778,3.853658536585366
4,4,8.0,6.0,-0.8526466380543634,-2.1463414634146343
5,5,8.0,6.0,-0.761633428300095,-1.121951219512195
6,6,8.0,6.0,-0.6297286969812763,-0.5853658536585367
7,7,8.0,6.0,0.596043956043956,3.853658536585366
8,8,8.0,6.0,-0.7986348122866894,-2.1463414634146343
9,9,8.0,6.0,-0.7631344612644702,-1.121951219512195
10,10,8.0,6.0,-0.6219312602291326,-0.5853658536585367
11,11,8.0,6.0,0.6511035653650254,3.853658536585366
0,0,8.0,7.0,-0.8881685575364667,-2.5040650406504064
1,1,8.0,7.0,-0.7957710159876225,-1.3089430894308942
2,2,8.0,7.0,-0.6379201014584654,-0.6829268292682927
3,3,8.0,7.0,0.714864083285136,4.495934959349594
4,4,8.0,7.0,-0.8927038626609443,-2.5040650406504064
5,5,8.0,7.0,-0.7749287749287749,-1.3089430894308942
6,6,8.0,7.0,-0.6209400076423386,-0.6829268292682927
7,7,8.0,7.0,0.7085714285714285,4.495934959349594
8,8,8.0,7.0,-0.8737201365187713,-2.5040650406504064
9,9,8.0,7.0,-0.7417631344612645,-1.3089430894308942
10,10,8.0,7.0,-0.6121112929623568,-0.6829268292682927
11,11,8.0,7.0,0.7283531409168081,4.495934959349594
0,0,8.0,8.0,-0.9303079416531604,-2.861788617886179
1,1,8.0,8.0,-0.8102114492006188,-1.4959349593495934
2,2,8.0,8.0,-0.641724793912492,-0.7804878048780488
3,3,8.0,8.0,0.7894736842105263,5.138211382113822
4,4,8.0,8.0,-0.9170243204577968,-2.861788617886179
5,5,8.0,8.0,-0.7768281101614435,-1.4959349593495934
6,6,8.0,8.0,-0.6083301490256018,-0.7804878048780488
7,7,8.0,8.0,0.7657142857142857,5.138211382113822
8,8,8.0,8.0,-0.8873720136518771,-2.861788617886179
9,9,8.0,8.0,-0.7471059661620659,-1.4959349593495934
10,10,8.0,8.0,-0.6472995090016367,-0.7804878048780488
11,11,8.0,8.0,0.7945670628183361,5.138211382113822
0,0,8.0,9.0,-0.9173419773095624,-3.2195121951219514
1,1,8.0,9.0,-0.8133058277462609,-1.6829268292682926
2,2,8.0,9.0,-0.6525047558655676,-0.8780487804878049
3,3,8.0,9.0,0.8282244071717756,5.7804878048780495
4,4,8.0,9.0,-0.9241773962804005,-3.2195121951219514
5,5,8.0,9.0,-0.8091168091168092,-1.6829268292682926
6,6,8.0,9.0,-0.6205578907145587,-0.8780487804878049
7,7,8.0,9.0,0.832967032967033,5.7804878048780495
8,8,8.0,9.0,-0.9215017064846417,-3.2195121951219514
9,9,8.0,9.0,-0.8023152270703473,-1.6829268292682926
10,10,8.0,9.0,-0.6112929623567921,-0.8780487804878049
11,11,8.0,9.0,0.8463497453310697,5.7804878048780495
0,0,8.0,10.0,-0.9497568881685575,-3.5772357723577235
1,1,8.0,10.0,-0.8329035585353275,-1.8699186991869918
2,2,8.0,10.0,-0.6708941027266963,-0.975609756097561
3,3,8.0,10.0,0.876229034123771,6.422764227642277
4,4,8.0,10.0,-0.9341917024320457,-3.5772357723577235
5,5,8.0,10.0,-0.8319088319088319,-1.8699186991869918
6,6,8.0,10.0,-0.6285823461979365,-0.975609756097561
7,7,8.0,10.0,0.8663736263736264,6.422764227642277
8,8,8.0,10.0,-0.931740614334471,-3.5772357723577235
9,9,8.0,10.0,-0.7809439002671416,-1.8699186991869918
10,10,8.0,10.0,-0.6571194762684124,-0.975609756097561
11,11,8.0,10.0,0.8675721561969439,6.422764227642277
