,control,magnetisation,mag_se,beta_factor,gradient,samp_frac,snapshot_num
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.5793999661956595,1.931994349296277e-05,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.5819219254952335,8.258698284785415e-06,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.5815898181326482,1.656938896330187e-05,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.576254681901156,1.156262154453524e-05,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.5842118518017713,1.3230509098211508e-05,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.5873991143262796,1.824939558872517e-05,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,2.0
2,snapshot,-0.576938807382868,1.570813141218108e-05,8.0,1.0,0.001,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.587341430599689,1.1785229157043708e-05,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.5890722331147319,1.2339001880318655e-05,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.5857106551281184,1.7579094891624898e-05,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.5833569062267594,9.251024528295373e-06,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.5848459130552364,3.0046692592383262e-05,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.5906271786897438,1.4626173424322024e-05,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.5890698938543708,8.23241986404761e-06,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.587640436752079,1.6852404681743588e-05,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.5935906564802921,1.292053512651714e-05,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,3.0
2,snapshot,-0.5737756608748564,8.379331414786003e-06,8.0,1.0,0.001,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5798738557230748,1.0760234730677338e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5679099452369685,1.4883453802627095e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5762442836860253,1.0995522969261264e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5787767223311474,1.7363509585383896e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5761014400649045,1.7731879669194092e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5740385504698804,9.824652407979624e-06,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5821342437969036,2.3293023243545955e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5810915489148807,1.0427798644315776e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5824068960854575,1.8418249053994793e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,4.0
2,snapshot,-0.5730756811574605,1.4964247332749048e-05,8.0,1.0,0.001,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5775644040294774,1.346456350752024e-05,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5738450949901968,8.328797464247124e-06,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5788176391048612,1.2431455471760844e-05,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5860263606247041,1.1152609612770255e-05,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5741020079778244,1.0308091727055034e-05,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.585278892569806,1.146780150359258e-05,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5756104387803394,1.717733739137039e-05,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5688404232303428,3.6316848082028265e-05,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5720651747684402,1.8435965021560728e-05,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,5.0
2,snapshot,-0.5673441484686633,9.25181025988787e-06,8.0,1.0,0.001,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.5768419782300047,1.3566063920833311e-05,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.5856778581569874,1.1777663560323155e-05,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.5674225272124941,1.7723596188013623e-05,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.5796535055101074,9.533755623562119e-06,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.5815096883239809,9.20715783636875e-06,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.5758842877425461,1.2416762844431435e-05,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.5765139341491448,1.0244118758126113e-05,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.5738451220336691,8.396107459913625e-06,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.575676418092083,1.1111461041001238e-05,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,6.0
2,snapshot,-0.575336332905145,1.1010536114263936e-05,8.0,1.0,0.001,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.587323940233926,2.739806633764438e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5859808194172133,1.2497873162954344e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5841796497870326,6.549607965565963e-06,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5863239943208708,2.2834201361588806e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5805228584950308,1.6250333828712773e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5877893178284092,1.7410135185765005e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5859403488607938,1.5435043665292895e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5808517544452708,1.6907812334532095e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5854248191467785,1.2461557011320877e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,7.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,7.0
2,snapshot,-0.5853539314447975,1.2665807407624984e-05,8.0,1.0,0.001,7.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5812992360219053,1.4060064222295234e-05,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5729684132242578,2.7685777344895515e-05,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5762568656615509,3.828058214475744e-05,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5777243594077479,7.991979035840417e-06,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5792413427084038,1.8422339644770727e-05,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5770480427286864,1.2832141793125388e-05,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5850694205936042,2.753857498129285e-05,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5842141843012643,1.1708875915515263e-05,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5749598201609086,9.821444472470962e-06,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,8.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,8.0
2,snapshot,-0.5834120546278142,1.9665408871473868e-05,8.0,1.0,0.001,8.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5886781894395241,1.0174578607676477e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5753093299979717,1.0848756339334278e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5815392536001623,1.40077667035818e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5835642688121154,1.1038409855001473e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5781531404232303,1.9775149602259786e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5865895409370563,1.8480114699990638e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5918109052802379,1.4143334375330513e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5842725441146643,6.582706465877178e-06,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5874882360895138,1.77049580011355e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,9.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,9.0
2,snapshot,-0.5880620174430398,1.8069022852728274e-05,8.0,1.0,0.001,9.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.5860928199580825,6.528275558304207e-06,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.5830373673179636,1.799575374040949e-05,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.5836470962071529,1.0306871346448553e-05,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.5883426272733419,1.829513793192118e-05,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.5865542627273342,1.634838649796805e-05,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.581985484416199,2.0752607932445853e-05,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.576723162734095,1.467218142868293e-05,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.5897738286796025,1.4971476715517833e-05,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.5824841457643161,8.995323523469678e-06,8.0,1.0,0.001,10.0
