,Method,beta_factor,field_gradient,mean_mag,init
0,block_mf,0.13081774742601943,1.0,0.000859881075886962,rand
0,block_mf,0.13081774742601943,1.0,0.0008599399437072251,rand
0,block_mf,0.13081774742601943,1.0,0.0008600266403007906,rand
0,block_mf,0.13081774742601943,1.0,0.0008598501570682593,rand
0,block_mf,0.13081774742601943,1.0,0.0008600052184371167,rand
0,block_mf,0.13081774742601943,1.0,0.0008599555289290638,rand
0,block_mf,0.13081774742601943,1.0,0.0008598687297033718,rand
0,block_mf,0.13081774742601943,1.0,0.0008600032408914057,rand
0,block_mf,0.13081774742601943,1.0,0.0008599675258228229,rand
0,block_mf,0.13081774742601943,1.0,0.0008599174421737081,rand
0,block_mf,0.13081774742601943,1.0,0.0008600247905437499,rand
0,block_mf,0.13081774742601943,1.0,0.0008600073673637762,rand
0,block_mf,0.13081774742601943,1.0,0.0008600319402010327,rand
0,block_mf,0.13081774742601943,1.0,0.0008599237055354012,rand
0,block_mf,0.13081774742601943,1.0,0.0008600082975664007,rand
0,block_mf,0.13081774742601943,1.0,0.000859975341280468,rand
0,block_mf,0.13081774742601943,1.0,0.0008591477494830328,rand
0,block_mf,0.13081774742601943,1.0,0.0008599314793192388,rand
0,block_mf,0.13081774742601943,1.0,0.0008600055924721634,rand
0,block_mf,0.13081774742601943,1.0,0.0008599760020402994,rand
0,block_mf,0.13081774742601943,1.0,0.0008600512780360753,rand
0,block_mf,0.13081774742601943,1.0,0.0008599415374865259,rand
0,block_mf,0.13081774742601943,1.0,0.000859966865272068,rand
0,block_mf,0.13081774742601943,1.0,0.000860431739416582,rand
0,block_mf,0.13081774742601943,1.0,0.0008599965991872022,rand
0,block_mf,0.13081774742601943,1.0,0.0008598760792356358,rand
0,block_mf,0.13081774742601943,1.0,0.0008599429575735862,rand
0,block_mf,0.13081774742601943,1.0,0.0008600430683094473,rand
0,block_mf,0.13081774742601943,1.0,0.0008599570951544337,rand
0,block_mf,0.13081774742601943,1.0,0.0008599225861445943,rand
0,block_mf,0.13081774742601943,1.0,0.0008599807248718488,rand
0,block_mf,0.13081774742601943,1.0,0.000860043126602074,rand
0,block_mf,0.13081774742601943,1.0,0.0008599367484446265,rand
0,block_mf,0.13081774742601943,1.0,0.0008598845087161339,rand
0,block_mf,0.13081774742601943,1.0,0.0008599273709915856,rand
0,block_mf,0.13081774742601943,1.0,0.0008599963807115728,rand
0,block_mf,0.13081774742601943,1.0,0.0008599979415391518,rand
0,block_mf,0.13081774742601943,1.0,0.0008599510074806122,rand
0,block_mf,0.13081774742601943,1.0,0.0008599187206375057,rand
0,block_mf,0.13081774742601943,1.0,0.0008600452195663576,rand
0,block_mf,0.13081774742601943,1.0,0.0008600228471624169,rand
0,block_mf,0.13081774742601943,1.0,0.0008590501104255549,rand
0,block_mf,0.13081774742601943,1.0,0.0008598263756368923,rand
0,block_mf,0.13081774742601943,1.0,0.0008599078311065876,rand
0,block_mf,0.13081774742601943,1.0,0.0008598741298070094,rand
0,block_mf,0.13081774742601943,1.0,0.0008600483136238323,rand
0,block_mf,0.13081774742601943,1.0,0.0008600688507643784,rand
0,block_mf,0.13081774742601943,1.0,0.0008599890511938301,rand
0,block_mf,0.13081774742601943,1.0,0.0008598661521891806,rand
0,block_mf,0.13081774742601943,1.0,0.000859050779866091,rand
0,block_mf,0.13081774742601943,1.0,0.0008598688652331189,rand
0,block_mf,0.13081774742601943,1.0,0.0008599687724917871,rand
0,block_mf,0.13081774742601943,1.0,0.0008599663731987866,rand
0,block_mf,0.13081774742601943,1.0,0.0008600059306783383,rand
0,block_mf,0.13081774742601943,1.0,0.0008600256132656668,rand
0,block_mf,0.13081774742601943,1.0,0.0008599290335896575,rand
0,block_mf,0.13081774742601943,1.0,0.0008600438385507279,rand
0,block_mf,0.13081774742601943,1.0,0.0008599151367051624,rand
0,block_mf,0.13081774742601943,1.0,0.0008599926593507388,rand
0,block_mf,0.13081774742601943,1.0,0.000859976550782787,rand
0,block_mf,0.13081774742601943,1.0,0.000860017864178443,rand
0,block_mf,0.13081774742601943,1.0,0.0008600182840571106,rand
0,block_mf,0.13081774742601943,1.0,0.0008609430928617457,rand
0,block_mf,0.13081774742601943,1.0,0.0008600337597704437,rand
0,block_mf,0.13081774742601943,1.0,0.000859951198350028,rand
0,block_mf,0.13081774742601943,1.0,0.0008599625298569324,rand
0,block_mf,0.13081774742601943,1.0,0.0008599815892012752,rand
0,block_mf,0.13081774742601943,1.0,0.0008600452778801327,rand
0,block_mf,0.13081774742601943,1.0,0.0008600654235531444,rand
0,block_mf,0.13081774742601943,1.0,0.0008599446353704513,rand
0,block_mf,0.13081774742601943,1.0,0.000859852089630398,rand
0,block_mf,0.13081774742601943,1.0,0.0008600172616757245,rand
0,block_mf,0.13081774742601943,1.0,0.0008599894097891538,rand
0,block_mf,0.13081774742601943,1.0,0.0008599285749804667,rand
0,block_mf,0.13081774742601943,1.0,0.0008599696610001753,rand
0,block_mf,0.13081774742601943,1.0,0.0009110529043045679,rand
0,block_mf,0.13081774742601943,1.0,0.0008599855985629765,rand
0,block_mf,0.13081774742601943,1.0,0.0008600092091332419,rand
0,block_mf,0.13081774742601943,1.0,0.0008600876079806914,rand
0,block_mf,0.13081774742601943,1.0,0.0008600160356625841,rand
0,block_mf,0.13081774742601943,1.0,0.0008599503310581917,rand
0,block_mf,0.13081774742601943,1.0,0.0008599616320078305,rand
0,block_mf,0.13081774742601943,1.0,0.0008599826669641079,rand
0,block_mf,0.13081774742601943,1.0,0.0008598926139706133,rand
0,block_mf,0.13081774742601943,1.0,0.0008597318142660997,rand
0,block_mf,0.13081774742601943,1.0,0.0008598522014261586,rand
0,block_mf,0.13081774742601943,1.0,0.0008600353631930623,rand
0,block_mf,0.13081774742601943,1.0,0.0008599160846123573,rand
0,block_mf,0.13081774742601943,1.0,0.0008600058187064621,rand
0,block_mf,0.13081774742601943,1.0,0.0008600276837022124,rand
0,block_mf,0.13081774742601943,1.0,0.0008597121809037872,rand
0,block_mf,0.13081774742601943,1.0,0.0008600357578531459,rand
0,block_mf,0.13081774742601943,1.0,0.0008599058273166487,rand
0,block_mf,0.13081774742601943,1.0,0.0008599248194471412,rand
0,block_mf,0.13081774742601943,1.0,0.0008611964934329233,rand
0,block_mf,0.13081774742601943,1.0,0.0008599070834078447,rand
0,block_mf,0.13081774742601943,1.0,0.0008598902074236652,rand
0,block_mf,0.13081774742601943,1.0,0.0008598699776831149,rand
0,MC_simulations,0.13081774742601943,1.0,0.0010813197214522342,+VE
0,MC_simulations,0.13081774742601943,1.0,0.009205854911770672,-VE
0,full_mf,0.17113283041617805,1.0,0.0011339155985138165,+VE
0,full_mf,0.17113283041617805,1.0,0.0011337164477630566,-VE
0,block_mf,0.17113283041617805,1.0,0.0011288166194984935,rand
0,block_mf,0.17113283041617805,1.0,0.0011290374856164115,rand
0,block_mf,0.17113283041617805,1.0,0.0011281482512637334,rand
0,block_mf,0.17113283041617805,1.0,0.0011291744271624716,rand
0,block_mf,0.17113283041617805,1.0,0.001129007972014952,rand
0,block_mf,0.17113283041617805,1.0,0.0011290571601857587,rand
0,block_mf,0.17113283041617805,1.0,0.0011288929952243333,rand
0,block_mf,0.17113283041617805,1.0,0.001128883248216727,rand
0,block_mf,0.17113283041617805,1.0,0.0011289806236932693,rand
0,block_mf,0.17113283041617805,1.0,0.0011290082972620305,rand
0,block_mf,0.17113283041617805,1.0,0.0011292225413496405,rand
0,block_mf,0.17113283041617805,1.0,0.0011290379356331253,rand
0,block_mf,0.17113283041617805,1.0,0.0011289452353660074,rand
0,block_mf,0.17113283041617805,1.0,0.001128776777817509,rand
0,block_mf,0.17113283041617805,1.0,0.0011291732148341206,rand
0,block_mf,0.17113283041617805,1.0,0.001129013196271915,rand
0,block_mf,0.17113283041617805,1.0,0.001126644869933714,rand
0,block_mf,0.17113283041617805,1.0,0.0011289810826945253,rand
0,block_mf,0.17113283041617805,1.0,0.0011288126317268896,rand
0,block_mf,0.17113283041617805,1.0,0.0011292444683994258,rand
0,block_mf,0.17113283041617805,1.0,0.0011288772178668584,rand
0,block_mf,0.17113283041617805,1.0,0.001129263564224964,rand
0,block_mf,0.17113283041617805,1.0,0.0011291682543551524,rand
0,block_mf,0.17113283041617805,1.0,0.001128979148856965,rand
0,block_mf,0.17113283041617805,1.0,0.0011289201055358436,rand
0,block_mf,0.17113283041617805,1.0,0.0011289877090117167,rand
0,block_mf,0.17113283041617805,1.0,0.0011291145809662322,rand
0,block_mf,0.17113283041617805,1.0,0.0011289797139174055,rand
0,block_mf,0.17113283041617805,1.0,0.001129028363236174,rand
0,block_mf,0.17113283041617805,1.0,0.0011289973279050556,rand
0,block_mf,0.17113283041617805,1.0,0.001128839693294316,rand
0,block_mf,0.17113283041617805,1.0,0.001129055097405913,rand
0,block_mf,0.17113283041617805,1.0,0.0011291409130787904,rand
0,block_mf,0.17113283041617805,1.0,0.001128784836433702,rand
0,block_mf,0.17113283041617805,1.0,0.0011287817543323578,rand
0,block_mf,0.17113283041617805,1.0,0.001128876990869077,rand
0,block_mf,0.17113283041617805,1.0,0.0011289725176708584,rand
0,block_mf,0.17113283041617805,1.0,0.0011291919519755321,rand
0,block_mf,0.17113283041617805,1.0,0.0011287289418343283,rand
0,block_mf,0.17113283041617805,1.0,0.0011290202716770063,rand
0,block_mf,0.17113283041617805,1.0,0.0011288921797425761,rand
0,block_mf,0.17113283041617805,1.0,0.0011290946474032313,rand
0,block_mf,0.17113283041617805,1.0,0.0011290094103142774,rand
0,block_mf,0.17113283041617805,1.0,0.001129002755773328,rand
0,block_mf,0.17113283041617805,1.0,0.0011290017415599692,rand
0,block_mf,0.17113283041617805,1.0,0.0011291509361005623,rand
0,block_mf,0.17113283041617805,1.0,0.0011289115723337607,rand
0,block_mf,0.17113283041617805,1.0,0.0011287772952702595,rand
0,block_mf,0.17113283041617805,1.0,0.0011287960903044825,rand
0,block_mf,0.17113283041617805,1.0,0.00112906881541662,rand
0,block_mf,0.17113283041617805,1.0,0.0011287898847783732,rand
0,block_mf,0.17113283041617805,1.0,0.0011296668469051613,rand
0,block_mf,0.17113283041617805,1.0,0.001129023975134641,rand
0,block_mf,0.17113283041617805,1.0,0.0011288733171605193,rand
0,block_mf,0.17113283041617805,1.0,0.0011292116537939437,rand
0,block_mf,0.17113283041617805,1.0,0.0011289112345955177,rand
0,block_mf,0.17113283041617805,1.0,0.0011291871805406925,rand
0,block_mf,0.17113283041617805,1.0,0.0011289913949947006,rand
0,block_mf,0.17113283041617805,1.0,0.0011288259177766437,rand
0,block_mf,0.17113283041617805,1.0,0.0011290384247670906,rand
0,block_mf,0.17113283041617805,1.0,0.00112899330730158,rand
0,block_mf,0.17113283041617805,1.0,0.001129049412362821,rand
0,block_mf,0.17113283041617805,1.0,0.001128893838033938,rand
0,block_mf,0.17113283041617805,1.0,0.0011290592792151347,rand
0,block_mf,0.17113283041617805,1.0,0.0011291172869517562,rand
0,block_mf,0.17113283041617805,1.0,0.0011290554606464645,rand
0,block_mf,0.17113283041617805,1.0,0.001129277532116939,rand
0,block_mf,0.17113283041617805,1.0,0.0011292179000341504,rand
0,block_mf,0.17113283041617805,1.0,0.0011288679234689506,rand
0,block_mf,0.17113283041617805,1.0,0.0011288618384004514,rand
0,block_mf,0.17113283041617805,1.0,0.001128926408934232,rand
0,block_mf,0.17113283041617805,1.0,0.0011290293389969986,rand
0,block_mf,0.17113283041617805,1.0,0.0011290023297820054,rand
0,block_mf,0.17113283041617805,1.0,0.001129136082579142,rand
0,block_mf,0.17113283041617805,1.0,0.001129244209587649,rand
0,block_mf,0.17113283041617805,1.0,0.0011288923232660474,rand
0,block_mf,0.17113283041617805,1.0,0.0011304908754719508,rand
0,block_mf,0.17113283041617805,1.0,0.0011289935929873363,rand
0,block_mf,0.17113283041617805,1.0,0.0011288615899226338,rand
0,block_mf,0.17113283041617805,1.0,0.0011288406640210526,rand
0,block_mf,0.17113283041617805,1.0,0.0011288312633657542,rand
0,block_mf,0.17113283041617805,1.0,0.0011289889840937167,rand
0,block_mf,0.17113283041617805,1.0,0.0011304521743160424,rand
0,block_mf,0.17113283041617805,1.0,0.0011290112056681898,rand
0,block_mf,0.17113283041617805,1.0,0.0011289218973565597,rand
0,block_mf,0.17113283041617805,1.0,0.001129026040873228,rand
0,block_mf,0.17113283041617805,1.0,0.001128940804787136,rand
0,block_mf,0.17113283041617805,1.0,0.0011290067138824782,rand
0,block_mf,0.17113283041617805,1.0,0.0011289596744995434,rand
0,block_mf,0.17113283041617805,1.0,0.0011289443220051816,rand
0,block_mf,0.17113283041617805,1.0,0.0011289036576876321,rand
0,block_mf,0.17113283041617805,1.0,0.0011288395948295968,rand
0,block_mf,0.17113283041617805,1.0,0.0011288914329539148,rand
0,block_mf,0.17113283041617805,1.0,0.001128992607343842,rand
0,block_mf,0.17113283041617805,1.0,0.001129124081520907,rand
0,block_mf,0.17113283041617805,1.0,0.0011292120878582854,rand
0,block_mf,0.17113283041617805,1.0,0.0011292946785465437,rand
0,block_mf,0.17113283041617805,1.0,0.0011290775364028623,rand
0,block_mf,0.17113283041617805,1.0,0.0011289010801882287,rand
0,block_mf,0.17113283041617805,1.0,0.0011292474169643386,rand
0,MC_simulations,0.17113283041617805,1.0,-0.0012298965587181393,+VE
0,MC_simulations,0.17113283041617805,1.0,0.00644979379352309,-VE
0,full_mf,0.22387211385683395,1.0,0.0014935406815780223,+VE
0,full_mf,0.22387211385683395,1.0,0.0014924817192317457,-VE
0,block_mf,0.22387211385683395,1.0,0.0014840865704186335,rand
0,block_mf,0.22387211385683395,1.0,0.001483516062804149,rand
0,block_mf,0.22387211385683395,1.0,0.0014837844305051204,rand
0,block_mf,0.22387211385683395,1.0,0.0014837795467128323,rand
0,block_mf,0.22387211385683395,1.0,0.0014838222410000724,rand
0,block_mf,0.22387211385683395,1.0,0.001483950691098988,rand
0,block_mf,0.22387211385683395,1.0,0.0014837351430824768,rand
0,block_mf,0.22387211385683395,1.0,0.0014839348258747012,rand
0,block_mf,0.22387211385683395,1.0,0.0014839381372641473,rand
0,block_mf,0.22387211385683395,1.0,0.0014841904745341188,rand
0,block_mf,0.22387211385683395,1.0,0.001484330466149221,rand
0,block_mf,0.22387211385683395,1.0,0.001483765492653887,rand
0,block_mf,0.22387211385683395,1.0,0.0014839886482176604,rand
0,block_mf,0.22387211385683395,1.0,0.0014838020494853529,rand
0,block_mf,0.22387211385683395,1.0,0.0014834911972023044,rand
0,block_mf,0.22387211385683395,1.0,0.0014837658861960553,rand
0,block_mf,0.22387211385683395,1.0,0.0014837811814477002,rand
0,block_mf,0.22387211385683395,1.0,0.0014837086156697283,rand
0,block_mf,0.22387211385683395,1.0,0.001483769111561872,rand
0,block_mf,0.22387211385683395,1.0,0.001483803755771505,rand
0,block_mf,0.22387211385683395,1.0,0.0014839182677909971,rand
0,block_mf,0.22387211385683395,1.0,0.0014841283945531756,rand
0,block_mf,0.22387211385683395,1.0,0.001483821372063813,rand
0,block_mf,0.22387211385683395,1.0,0.0014839839657924945,rand
0,block_mf,0.22387211385683395,1.0,0.0014838110243723295,rand
0,block_mf,0.22387211385683395,1.0,0.0014848234546121063,rand
0,block_mf,0.22387211385683395,1.0,0.001483899317260559,rand
0,block_mf,0.22387211385683395,1.0,0.001483807193540266,rand
0,block_mf,0.22387211385683395,1.0,0.0014837673328423043,rand
0,block_mf,0.22387211385683395,1.0,0.0014838212318391392,rand
0,block_mf,0.22387211385683395,1.0,0.0014835562118550875,rand
0,block_mf,0.22387211385683395,1.0,0.0014838192696653783,rand
0,block_mf,0.22387211385683395,1.0,0.0014837564472086721,rand
0,block_mf,0.22387211385683395,1.0,0.0014840359932880994,rand
0,block_mf,0.22387211385683395,1.0,0.0014835012105384783,rand
0,block_mf,0.22387211385683395,1.0,0.0014838141180763082,rand
0,block_mf,0.22387211385683395,1.0,0.0014839889010448556,rand
0,block_mf,0.22387211385683395,1.0,0.0014839229557822757,rand
0,block_mf,0.22387211385683395,1.0,0.0014837665837113762,rand
0,block_mf,0.22387211385683395,1.0,0.0014837595255173194,rand
0,block_mf,0.22387211385683395,1.0,0.001483811075337154,rand
0,block_mf,0.22387211385683395,1.0,0.0014838088536286923,rand
0,block_mf,0.22387211385683395,1.0,0.0014838167137140278,rand
0,block_mf,0.22387211385683395,1.0,0.0014837588140354345,rand
0,block_mf,0.22387211385683395,1.0,0.001483765715166388,rand
0,block_mf,0.22387211385683395,1.0,0.0014838103634865407,rand
0,block_mf,0.22387211385683395,1.0,0.0014832929969754458,rand
0,block_mf,0.22387211385683395,1.0,0.0014837737608824455,rand
0,block_mf,0.22387211385683395,1.0,0.0014832596861905456,rand
0,block_mf,0.22387211385683395,1.0,0.001483748766701994,rand
0,block_mf,0.22387211385683395,1.0,0.0014838483547759615,rand
0,block_mf,0.22387211385683395,1.0,0.0014837478745459251,rand
0,block_mf,0.22387211385683395,1.0,0.0014839052688644468,rand
0,block_mf,0.22387211385683395,1.0,0.0014837604086768595,rand
0,block_mf,0.22387211385683395,1.0,0.001483801113577141,rand
0,block_mf,0.22387211385683395,1.0,0.001483764694741169,rand
0,block_mf,0.22387211385683395,1.0,0.0014837672024612205,rand
0,block_mf,0.22387211385683395,1.0,0.0014841300351694606,rand
0,block_mf,0.22387211385683395,1.0,0.0014833454902651905,rand
0,block_mf,0.22387211385683395,1.0,0.0014838187085731793,rand
0,block_mf,0.22387211385683395,1.0,0.0014838027642460553,rand
0,block_mf,0.22387211385683395,1.0,0.001483341976048312,rand
0,block_mf,0.22387211385683395,1.0,0.001483432158156545,rand
0,block_mf,0.22387211385683395,1.0,0.001483818288906806,rand
0,block_mf,0.22387211385683395,1.0,0.0014840714427662158,rand
0,block_mf,0.22387211385683395,1.0,0.0014837648653571393,rand
0,block_mf,0.22387211385683395,1.0,0.0014837755615973475,rand
0,block_mf,0.22387211385683395,1.0,0.0014838259841500742,rand
0,block_mf,0.22387211385683395,1.0,0.0014834317669312068,rand
0,block_mf,0.22387211385683395,1.0,0.0014834907071335627,rand
0,block_mf,0.22387211385683395,1.0,0.0014838237166094244,rand
0,block_mf,0.22387211385683395,1.0,0.0014840711843893983,rand
0,block_mf,0.22387211385683395,1.0,0.001484107255955953,rand
0,block_mf,0.22387211385683395,1.0,0.0014838139414078972,rand
0,block_mf,0.22387211385683395,1.0,0.001483489663583718,rand
0,block_mf,0.22387211385683395,1.0,0.0014837102096310027,rand
0,block_mf,0.22387211385683395,1.0,0.0014837612302050101,rand
0,block_mf,0.22387211385683395,1.0,0.001484095171039254,rand
0,block_mf,0.22387211385683395,1.0,0.0014834564379487684,rand
0,block_mf,0.22387211385683395,1.0,0.00148375671639309,rand
0,block_mf,0.22387211385683395,1.0,0.0014838158007675413,rand
0,block_mf,0.22387211385683395,1.0,0.0014837500872366257,rand
0,block_mf,0.22387211385683395,1.0,0.00148376148045337,rand
0,block_mf,0.22387211385683395,1.0,0.001483770065943276,rand
0,block_mf,0.22387211385683395,1.0,0.0014833917804102307,rand
0,block_mf,0.22387211385683395,1.0,0.0014837533415333658,rand
0,block_mf,0.22387211385683395,1.0,0.0014837697634172925,rand
0,block_mf,0.22387211385683395,1.0,0.0014838743475150133,rand
0,block_mf,0.22387211385683395,1.0,0.0014836429270016645,rand
0,block_mf,0.22387211385683395,1.0,0.001483369931304736,rand
0,block_mf,0.22387211385683395,1.0,0.0014840315136905183,rand
0,block_mf,0.22387211385683395,1.0,0.0014837475833610835,rand
0,block_mf,0.22387211385683395,1.0,0.0014838119742471361,rand
0,block_mf,0.22387211385683395,1.0,0.0014838086974601657,rand
0,block_mf,0.22387211385683395,1.0,0.0014842367340159018,rand
0,block_mf,0.22387211385683395,1.0,0.0014840563258624584,rand
0,block_mf,0.22387211385683395,1.0,0.0014837559402939013,rand
0,block_mf,0.22387211385683395,1.0,0.0014838056559626604,rand
0,block_mf,0.22387211385683395,1.0,0.0014835057434844454,rand
0,block_mf,0.22387211385683395,1.0,0.0014833246110114015,rand
0,MC_simulations,0.22387211385683395,1.0,0.0012284024068690421,+VE
0,MC_simulations,0.22387211385683395,1.0,0.01228968967615442,-VE
0,full_mf,0.29286445646252357,1.0,0.0019711610995061775,+VE
0,full_mf,0.29286445646252357,1.0,0.001970592022045967,-VE
0,block_mf,0.29286445646252357,1.0,0.001952440949434966,rand
0,block_mf,0.29286445646252357,1.0,0.001952599570317548,rand
0,block_mf,0.29286445646252357,1.0,0.0019529868577070103,rand
0,block_mf,0.29286445646252357,1.0,0.0019526316116430659,rand
0,block_mf,0.29286445646252357,1.0,0.0019525218494916938,rand
0,block_mf,0.29286445646252357,1.0,0.0019525367173527056,rand
0,block_mf,0.29286445646252357,1.0,0.0019525360402901112,rand
0,block_mf,0.29286445646252357,1.0,0.0019525447081673065,rand
0,block_mf,0.29286445646252357,1.0,0.001952564203477106,rand
0,block_mf,0.29286445646252357,1.0,0.0019526085000809157,rand
0,block_mf,0.29286445646252357,1.0,0.001952569173760056,rand
0,block_mf,0.29286445646252357,1.0,0.0019525858664667755,rand
0,block_mf,0.29286445646252357,1.0,0.001958097235100903,rand
0,block_mf,0.29286445646252357,1.0,0.0019526387843543447,rand
0,block_mf,0.29286445646252357,1.0,0.0019527668635085248,rand
0,block_mf,0.29286445646252357,1.0,0.0019528195448093222,rand
0,block_mf,0.29286445646252357,1.0,0.0019525360685963289,rand
0,block_mf,0.29286445646252357,1.0,0.0019528183390784856,rand
0,block_mf,0.29286445646252357,1.0,0.0019525779723986007,rand
0,block_mf,0.29286445646252357,1.0,0.0019525774623526983,rand
0,block_mf,0.29286445646252357,1.0,0.001952625690118355,rand
0,block_mf,0.29286445646252357,1.0,0.0019525054971603999,rand
